quantityOfAnimal;quantityOfGrass;AvgEnergy;AvgLifespan;AvgQuantityOfChildren
50,0;0;90,00;0;0,00
52,0;2;85,58;0;0,08
55,0;3;80,33;0;0,18
58,0;5;75,22;0;0,28
59,0;7;72,97;0;0,31
61,0;8;69,93;0;0,36
62,0;10;67,82;0;0,39
62,0;11;67,15;0;0,39
62,0;11;66,79;0;0,39
62,0;12;66,11;0;0,39
65,0;13;62,42;0;0,46
68,0;14;59,00;0;0,53
68,0;14;58,59;0;0,53
71,0;15;55,44;0;0,59
71,0;16;54,72;0;0,59
73,0;17;52,52;0;0,63
73,0;19;51,52;0;0,63
74,0;21;49,84;0;0,65
75,0;20;48,99;0;0,67
75,0;20;48,52;0;0,67
76,0;19;47,68;0;0,68
78,0;21;45,49;0;0,72
78,0;23;44,49;0;0,72
78,0;25;43,49;0;0,72
78,0;27;42,49;0;0,72
79,0;29;40,96;0;0,73
79,0;29;40,47;0;0,73
80,0;27;39,98;0;0,75
80,0;27;39,48;0;0,75
80,0;29;38,48;0;0,75
81,0;30;37,26;0;0,77
81,0;30;36,75;0;0,77
81,0;29;36,49;0;0,77
